solvent1,T1,solvent2,T2,yield,cost,environment cost,objective
1,294,1,313,0.9999919637491992,1.002194099349361,0.9999989786337392,0.9988873885068483
4,286,4,321,1.000018106867801,0.9287134257232523,0.6204358163804207,1.2254615926837653
1,295,1,323,0.9999919637491994,0.9951662127475577,0.9999989786337392,1.0024013318077505
1,300,4,322,1.027415194826401,0.9310192691703054,0.7991368025613121,1.189752353786993
3,304,4,326,1.0013314774725697,1.4526136881010068,1.3651236300337894,0.5937942958777412
2,298,3,308,1.0983982004004371,0.9580644301772201,0.8236818455523776,1.3059232629360753
2,301,4,328,1.0388948762995098,0.9228935563734978,0.7401241809594811,1.2462808839325303
3,280,2,316,1.0524011197430265,1.6976473447907916,1.67041398050841,0.4207715768364524
3,286,4,306,1.0012971370634238,1.4939628858559646,1.3647230255954594,0.5732513184011357
4,291,3,315,1.055519498511654,0.9463741889923576,0.711746509112121,1.2819786479710689
1,288,2,311,1.0831074050848877,1.1882116424128815,1.1297799253469034,1.0072190262898828
4,284,4,325,0.999491789978912,0.9267094699400711,0.6207090226061605,1.225274333684708
2,289,4,321,1.03995746279562,0.9423715255093268,0.7394891967571673,1.238984564457993
3,285,4,327,0.9994365479210038,1.4685933808342377,1.3672369907075348,0.5809579100711213
2,287,2,310,1.0965580556668166,1.1896034281082166,1.0729957076215673,1.0618165434687414
4,299,1,325,0.9744737982213476,0.9710024813022814,0.8159845376672706,1.0554540869579192
3,285,1,324,0.9731479161638084,1.5482397533464372,1.5831186371320072,0.38061663708839444
4,284,2,320,1.0519966970083328,1.1749131674715236,0.9621444467383159,1.0354645869117456
1,301,2,325,1.0800659400737531,1.1742942377400956,1.1329613849094466,1.0065040688227351
4,287,2,308,1.0549095762599547,1.1737869841345183,0.9596771230186351,1.0430870989433327
2,295,2,306,1.097136395323162,1.1827446999469808,1.0722334487431715,1.0667837163012481
4,281,4,307,1.0006899193997687,0.9546154574331085,0.6198841769037791,1.2141300216310935
1,300,4,328,1.026925332763069,0.9242182105237435,0.799518005352302,1.191982557588115
2,292,2,312,1.0958821653632822,1.1840295476701566,1.0735332124100845,1.0629829506864439
1,297,3,322,1.0824079306226977,0.956967026468111,0.8825272830992024,1.2450687064617387
4,286,2,324,1.0513839477883948,1.171716797000614,0.9628323490344411,1.0354933225592622
3,281,1,307,0.9727434641065676,1.5638082107436042,1.583590865230322,0.37178739022617213
4,282,1,307,0.9728457128063241,1.0031223348758245,0.8166014285696304,1.035829543889921
2,284,2,306,1.0976206202317538,1.1939919623696384,1.0720334585432127,1.062228530007082
4,295,1,317,0.9741085025646151,0.9798094105364743,0.8161227708551254,1.0502509144334304
2,288,1,311,1.0121581846305743,1.0098145776978031,0.9387574484036327,1.0500303562104307
